"2024-04-03 11:30:11",1,"diesel","Phillips 66","201 E Central Ave|Carthage, MO","- - -",""
"2024-04-03 11:30:11",2,"diesel","Phillips 66","2812 Hazel St|Carthage, MO","- - -",""
"2024-04-03 11:30:11",3,"diesel","Casey's","917 W Central Ave|Carthage, MO","$3.69",3.69
"2024-04-03 11:30:11",4,"diesel","Casey's","2214 Fairlawn Ave|Carthage, MO","$3.69",3.69
"2024-04-03 11:30:11",5,"diesel","The Corner","824 E Fairview Ave|Carthage, MO","$3.69",3.69
"2024-04-03 11:30:11",6,"diesel","Phillips 66","1224 W Central Ave|Carthage, MO","$3.69",3.69
"2024-04-03 11:30:11",7,"diesel","Flyin W","13011 MO-96|Carthage, MO","$3.79",3.79
"2024-04-03 11:30:11",1,"premium","The Corner","824 E Fairview Ave|Carthage, MO","- - -",""
"2024-04-03 11:30:11",2,"premium","Phillips 66","201 E Central Ave|Carthage, MO","- - -",""
"2024-04-03 11:30:11",3,"premium","Phillips 66","2812 Hazel St|Carthage, MO","- - -",""
"2024-04-03 11:30:11",4,"premium","Murphy USA","2635 Grand Ave|Carthage, MO","$3.79",3.79
"2024-04-03 11:30:11",5,"premium","Casey's","917 W Central Ave|Carthage, MO","$3.84",3.84
"2024-04-03 11:30:11",6,"premium","Phillips 66","1224 W Central Ave|Carthage, MO","$4.07",4.07
"2024-04-04 12:36:15",1,"regular","Phillips 66","410 S Garrison Ave|Carthage, MO","- - -",""
"2024-04-04 12:36:15",2,"regular","Phillips 66","201 E Central Ave|Carthage, MO","- - -",""
"2024-04-04 12:36:15",3,"regular","Conoco","301 W Central Ave|Carthage, MO","- - -",""
"2024-04-04 12:36:15",4,"regular","Murphy USA","2635 Grand Ave|Carthage, MO","$3.15",3.15
"2024-04-04 12:36:15",5,"regular","Casey's","917 W Central Ave|Carthage, MO","$3.19",3.19
"2024-04-04 12:36:15",6,"regular","Casey's","2214 Fairlawn Ave|Carthage, MO","$3.19",3.19
"2024-04-04 12:36:15",7,"regular","The Corner","824 E Fairview Ave|Carthage, MO","$3.19",3.19
"2024-04-04 12:36:15",8,"regular","Flyin W","13011 MO-96|Carthage, MO","$3.19",3.19
"2024-04-04 12:36:15",9,"regular","Phillips 66","2812 Hazel St|Carthage, MO","$3.19",3.19
"2024-04-04 12:36:15",10,"regular","Phillips 66","1224 W Central Ave|Carthage, MO","$3.19",3.19
"2024-04-04 12:36:15",1,"diesel","Phillips 66","201 E Central Ave|Carthage, MO","- - -",""
"2024-04-04 12:36:15",2,"diesel","Flyin W","13011 MO-96|Carthage, MO","- - -",""
"2024-04-04 12:36:15",3,"diesel","Phillips 66","2812 Hazel St|Carthage, MO","- - -",""
"2024-04-04 12:36:15",4,"diesel","Casey's","917 W Central Ave|Carthage, MO","$3.69",3.69
"2024-04-04 12:36:15",5,"diesel","Casey's","2214 Fairlawn Ave|Carthage, MO","$3.69",3.69
"2024-04-04 12:36:15",6,"diesel","The Corner","824 E Fairview Ave|Carthage, MO","$3.69",3.69
"2024-04-04 12:36:15",7,"diesel","Phillips 66","1224 W Central Ave|Carthage, MO","$3.69",3.69
"2024-04-04 12:36:15",1,"premium","Phillips 66","1224 W Central Ave|Carthage, MO","$4.07",4.07
"2024-04-04 12:36:15",2,"premium","Phillips 66","201 E Central Ave|Carthage, MO","- - -",""
"2024-04-04 12:36:15",3,"premium","The Corner","824 E Fairview Ave|Carthage, MO","- - -",""
"2024-04-04 12:36:15",4,"premium","Phillips 66","2812 Hazel St|Carthage, MO","- - -",""
"2024-04-04 12:36:15",5,"premium","Murphy USA","2635 Grand Ave|Carthage, MO","$3.75",3.75
"2024-04-04 12:36:15",6,"premium","Casey's","917 W Central Ave|Carthage, MO","$3.84",3.84
"2024-04-05 11:30:17",1,"regular","Phillips 66","410 S Garrison Ave|Carthage, MO","- - -",""
"2024-04-05 11:30:17",2,"regular","Conoco","301 W Central Ave|Carthage, MO","- - -",""
"2024-04-05 11:30:17",3,"regular","Murphy USA","2635 Grand Ave|Carthage, MO","$3.12",3.12
"2024-04-05 11:30:17",4,"regular","Casey's","917 W Central Ave|Carthage, MO","$3.19",3.19
"2024-04-05 11:30:17",5,"regular","Casey's","2214 Fairlawn Ave|Carthage, MO","$3.19",3.19
"2024-04-05 11:30:17",6,"regular","Phillips 66","1224 W Central Ave|Carthage, MO","$3.19",3.19
"2024-04-05 11:30:17",7,"regular","Phillips 66","2812 Hazel St|Carthage, MO","$3.19",3.19
"2024-04-05 11:30:17",8,"regular","Phillips 66","201 E Central Ave|Carthage, MO","$3.19",3.19
"2024-04-05 11:30:17",9,"regular","The Corner","824 E Fairview Ave|Carthage, MO","$3.19",3.19
"2024-04-05 11:30:17",10,"regular","Flyin W","13011 MO-96|Carthage, MO","$3.19",3.19
"2024-04-05 11:30:17",1,"diesel","Flyin W","13011 MO-96|Carthage, MO","- - -",""
"2024-04-05 11:30:17",2,"diesel","Casey's","917 W Central Ave|Carthage, MO","$3.69",3.69
"2024-04-05 11:30:17",3,"diesel","Casey's","2214 Fairlawn Ave|Carthage, MO","$3.69",3.69
"2024-04-05 11:30:17",4,"diesel","Phillips 66","1224 W Central Ave|Carthage, MO","$3.69",3.69
"2024-04-05 11:30:17",5,"diesel","Phillips 66","2812 Hazel St|Carthage, MO","$3.69",3.69
"2024-04-05 11:30:17",6,"diesel","Phillips 66","201 E Central Ave|Carthage, MO","$3.69",3.69
"2024-04-05 11:30:17",7,"diesel","The Corner","824 E Fairview Ave|Carthage, MO","$3.69",3.69
"2024-04-05 11:30:17",1,"premium","The Corner","824 E Fairview Ave|Carthage, MO","- - -",""
"2024-04-05 11:30:17",2,"premium","Murphy USA","2635 Grand Ave|Carthage, MO","$3.72",3.72
